id,pais,codigo,confederacao,ranking
4734,México,MEX,CONCACAF,15
4740,África do Sul,RSA,CAF,59
4400,Coreia do Sul,KOR,AFC,22
4705,Tchéquia,CZE,UEFA,40
4724,Canadá,CAN,CONCACAF,40
4697,Bósnia e Herzegovina,BIH,UEFA,74
4406,Catar,QAT,AFC,37
4489,Suíça,SUI,UEFA,19
4425,Brasil,BRA,CONMEBOL,5
4741,Marrocos,MAR,CAF,13
4722,Haiti,HAI,CONCACAF,90
4486,Escócia,SCO,UEFA,39
4725,EUA,USA,CONCACAF,13
4823,Paraguai,PAR,CONMEBOL,56
4408,Austrália,AUS,AFC,24
4703,Turquia,TUR,UEFA,35
4482,Alemanha,GER,UEFA,16
4720,Curaçao,CUW,CONCACAF,91
4745,Costa do Marfim,CIV,CAF,38
4819,Equador,ECU,CONMEBOL,31
4492,Holanda,NED,UEFA,7
4412,Japão,JPN,AFC,18
4491,Suécia,SWE,UEFA,28
4755,Tunísia,TUN,CAF,41
4485,Bélgica,BEL,UEFA,8
4744,Egito,EGY,CAF,36
4407,Irã,IRN,AFC,20
4424,Nova Zelândia,NZL,OFC,103
4493,Espanha,ESP,UEFA,3
4742,Cabo Verde,CPV,CAF,65
4411,Arábia Saudita,KSA,AFC,53
4422,Uruguai,URU,CONMEBOL,11
4480,França,FRA,UEFA,2
4754,Senegal,SEN,CAF,17
4405,Iraque,IRQ,AFC,58
4488,Noruega,NOR,UEFA,47
4481,Argentina,ARG,CONMEBOL,1
4691,Argélia,ALG,CAF,43
4711,Áustria,AUT,UEFA,25
4409,Jordânia,JOR,AFC,71
4483,Portugal,POR,UEFA,6
4820,Colômbia,COL,CONMEBOL,12
4413,Uzbequistão,UZB,AFC,64
4746,RD Congo,COD,CAF,63
4438,Inglaterra,ENG,UEFA,4
4494,Croácia,CRO,UEFA,10
4747,Gana,GHA,CAF,68
4717,Panamá,PAN,CONCACAF,43
